StationId,PM2.5,PM10,NO,NO2,NOx,SO2
DL003,43.75,207.38,1.71,28.44,16.52,17.96
DL003,51.12,220.27,8.02,41.13,28.42,25.65
DL003,77.21,301.27,17.49,67.06,49.9,29.26
DL003,35.88,196.29,1.83,22.76,13.6,16.19
DL003,34.38,176.28,2.75,32.46,19.52,17.19
DL003,24.83,83.99,3.97,40.55,24.81,11.43
DL003,75.29,239.52,5.63,34.36,22.86,18.27
DL003,33.51,137.0,1.99,24.73,14.78,11.4
DL003,61.69,197.88,2.74,44.75,26.03,20.02
DL003,69.45,193.79,15.88,58.29,43.95,30.75
DL003,38.14,139.15,1.38,19.86,11.69,18.98
DL003,18.96,88.15,1.72,21.97,13.09,23.29
DL003,50.0,126.12,1.78,25.99,15.29,20.94
DL003,70.15,177.08,3.64,33.68,20.89,22.01
DL003,68.88,264.52,3.91,46.29,27.81,23.53
DL003,58.9,258.69,6.39,39.65,26.31,27.41
DL003,55.1,326.1,5.54,32.93,22.04,18.46
DL003,59.6,330.77,8.76,34.14,25.3,16.6
DL003,50.94,210.54,1.96,24.92,14.86,17.41
DL003,63.98,264.33,2.6,23.79,14.77,19.99
DL003,33.15,121.15,1.33,19.95,11.7,12.96
DL003,27.98,79.83,2.33,22.32,13.77,12.43
DL003,48.98,111.21,7.42,32.32,23.25,19.56
DL003,27.99,99.39,3.4,24.23,15.66,13.49
DL003,37.12,98.21,1.69,22.0,13.08,16.4
DL003,44.47,168.26,2.78,30.48,18.48,14.44
DL003,36.73,137.71,1.9,25.36,15.04,13.68
DL003,67.77,325.0,3.4,32.19,19.89,13.8
DL003,79.75,540.15,3.67,26.79,17.24,12.04
DL003,68.48,478.09,3.67,25.97,16.71,11.7
DL003,58.5,394.14,2.42,20.44,12.79,12.18
DL003,54.25,373.21,1.95,23.35,14.01,18.39
DL003,32.52,153.0,3.07,24.33,15.44,12.69
DL003,24.62,72.25,1.67,23.02,13.59,13.89
DL003,27.4,66.88,2.28,28.91,17.24,10.21
DL003,28.21,81.15,4.06,39.48,24.31,10.26
DL003,59.54,158.1,17.47,42.49,36.84,14.85
DL003,43.23,117.46,4.37,39.13,24.37,10.6
DL003,50.94,116.23,13.76,35.39,30.04,11.4
DL003,67.46,137.42,29.69,35.31,42.99,10.45
DL003,90.96,178.12,18.15,44.51,38.47,11.05
DL003,58.73,162.08,15.86,42.76,35.67,11.36
DL003,17.58,59.73,2.94,25.4,15.9,10.02
DL003,26.04,63.04,5.39,25.7,18.06,9.41
DL003,24.81,47.31,4.63,22.9,15.96,12.14
DL003,15.65,44.6,2.35,17.73,11.35,13.54
DL003,22.81,68.0,2.78,19.05,12.4,16.01
DL003,27.54,79.6,2.74,20.58,13.19,18.59
DL003,27.1,77.48,2.33,19.95,12.52,11.92
DL003,27.19,81.58,3.02,26.39,16.5,13.51
DL003,25.42,75.94,2.98,26.47,16.5,10.77
DL003,45.69,92.69,8.08,32.67,23.97,14.75
DL003,48.29,96.54,6.32,28.68,20.42,10.86
DL003,51.83,108.0,7.47,37.83,26.22,12.37
DL003,28.4,55.48,5.75,31.58,21.49,11.8
DL003,32.62,75.56,5.59,25.24,17.98,11.11
DL003,29.08,87.44,7.13,25.1,19.16,13.85
DL003,8.82,57.74,2.42,14.09,9.47,10.52
DL003,11.5,43.29,2.45,17.1,11.1,12.09
DL003,18.19,61.33,2.96,19.86,12.98,10.02
DL003,14.36,52.92,2.57,19.98,12.72,8.26
DL003,16.43,57.35,9.02,27.98,22.23,8.04
DL003,28.88,62.37,5.79,29.4,20.35,7.71
DL003,22.43,57.47,8.18,18.38,16.45,8.87
DL003,13.33,36.68,2.76,15.62,10.56,9.57
DL003,6.47,17.24,3.34,13.3,9.81,8.03
DL003,11.22,27.35,6.59,19.38,15.68,7.83
DL003,37.2,85.84,17.59,26.7,28.54,7.39
DL003,37.83,95.1,14.46,28.26,26.83,7.35
DL003,38.33,137.05,5.39,31.76,21.29,8.33
DL003,40.61,137.6,16.31,42.07,35.66,9.39
DL003,47.88,158.15,26.61,36.01,40.85,8.65
DL003,53.46,138.56,24.74,37.85,40.3,7.22
DL003,28.33,60.04,4.99,24.49,17.09,8.26
DL003,25.31,65.31,9.27,21.32,18.9,9.87
DL003,38.83,103.92,17.31,26.11,28.0,12.2
DL003,42.12,125.5,27.06,35.89,41.14,12.28
DL003,26.62,82.16,4.87,24.79,17.15,12.55
DL003,47.4,116.07,4.0,28.15,18.23,18.06
DL003,53.08,124.73,5.27,34.44,22.61,14.27
