Date,Open,High,Low,Close,Adj Close,Volume
2020-04-26,195.413589,199.344971,194.768066,197.317535,197.317535,18335367011
2020-04-27,197.475723,199.552795,193.454163,197.224716,197.224716,18670194594
2020-04-28,197.273514,198.786545,194.849426,198.415390,198.415390,18217507467
2020-04-29,198.465195,218.454636,198.124512,216.968231,216.968231,26397548759
2020-04-30,216.909134,227.529694,206.436920,207.602051,207.602051,28089191903
2020-05-01,207.901733,217.628021,207.780884,214.219101,214.219101,20816320833
2020-05-02,214.230087,215.847534,212.878677,215.325378,215.325378,18260876092
2020-05-03,215.352066,219.270874,208.692368,210.933151,210.933151,20469034664
2020-05-04,210.890854,211.828384,199.047729,208.174011,208.174011,22602446421
2020-05-05,208.013000,211.778625,204.031128,206.774399,206.774399,19004689099
2020-05-06,206.481354,211.534622,204.040878,204.055786,204.055786,20343543799
2020-05-07,203.912857,214.392471,202.074844,212.289398,212.289398,23594744655
2020-05-08,212.198242,216.327682,208.830734,212.991577,212.991577,20445139356
2020-05-09,213.142166,214.739120,209.071518,211.600128,211.600128,18950547549
2020-05-10,211.552185,211.552185,182.711166,188.599564,188.599564,25211575192
2020-05-11,188.632187,191.362335,180.718338,185.912842,185.912842,20054601646
2020-05-12,185.877335,191.601349,185.701797,189.312500,189.312500,15899726283
2020-05-13,189.374100,200.197327,189.127701,199.193283,199.193283,17054662288
2020-05-14,198.891510,204.117599,196.868820,202.949097,202.949097,20150524860
2020-05-15,202.955399,203.566391,193.755676,195.622665,195.622665,16602342092
2020-05-16,195.613388,202.771194,194.501587,200.677124,200.677124,15379081644
2020-05-17,200.608871,209.160934,200.102798,207.158691,207.158691,15470397302
2020-05-18,207.179779,215.908463,207.109070,214.525055,214.525055,17411566927
2020-05-19,214.604935,214.604935,210.143051,213.451111,213.451111,14346192778
2020-05-20,213.446243,214.716827,207.975815,210.096741,210.096741,12730175510
2020-05-21,210.129150,211.625183,193.346436,199.883606,199.883606,13308321228
2020-05-22,199.837112,208.591537,198.040863,207.169189,207.169189,12041592113
2020-05-23,207.194489,210.386459,205.294220,208.694397,208.694397,10665476767
2020-05-24,208.716064,210.595078,202.370346,202.370346,202.370346,11833299571
2020-05-25,201.982651,206.361450,200.667557,205.319748,205.319748,10415044123
2020-05-26,205.259567,205.752548,200.264282,201.902313,201.902313,10159741290
2020-05-27,201.893005,208.863434,201.785065,208.863434,208.863434,10631034756
2020-05-28,208.885437,220.276505,206.242676,219.840439,219.840439,12212469603
2020-05-29,219.925049,224.216873,218.238052,220.675125,220.675125,12265816557
