Date,Open*,High,Low,Close**,Volume,Market Cap
"Apr 14, 2015",224.76,224.98,216.32,219.16,"3,17,19,000","3,08,00,98,939"
"Apr 13, 2015",235.95,236.93,222,224.59,"3,11,81,800","3,15,55,48,414"
"Apr 12, 2015",236.54,237.73,233.49,236.15,"1,23,87,900","3,31,71,29,018"
"Apr 11, 2015",236.02,239.54,234.18,236.55,"1,63,65,200","3,32,19,76,615"
"Apr 10, 2015",243.69,243.69,232.77,236.07,"2,88,82,000","3,31,44,09,567"
"Apr 9, 2015",244.75,246.12,239.4,243.68,"2,16,43,500","3,42,02,48,520"
"Apr 8, 2015",253.06,253.85,244.21,245.02,"3,00,86,400","3,43,83,26,345"
"Apr 7, 2015",255.27,255.8,252.21,253.18,"1,84,67,400","3,55,20,14,128"
"Apr 6, 2015",260.72,261.8,254.57,255.49,"2,00,34,200","3,58,34,66,919"
"Apr 5, 2015",253.76,260.67,251.94,260.6,"1,96,49,200","3,65,42,68,030"
"Apr 4, 2015",254.29,255.26,251.1,253.7,"1,24,93,500","3,55,65,59,216"
"Apr 3, 2015",253.07,256.04,251.88,254.32,"2,31,46,600","3,56,43,54,620"
"Apr 2, 2015",247.09,254.46,245.42,253.01,"2,62,72,600","3,54,49,73,232"
"Apr 1, 2015",244.22,247.54,241.16,247.27,"2,28,77,200","3,46,36,19,267"
"Mar 31, 2015",247.45,248.73,242.74,244.22,"2,26,72,000","3,42,01,12,896"
"Mar 30, 2015",242.88,249.24,239.21,247.53,"2,30,09,600","3,46,54,19,693"
"Mar 29, 2015",252.74,253.14,240.85,242.71,"2,16,99,400","3,39,71,87,115"
"Mar 28, 2015",246.98,254.21,246.98,252.8,"1,60,40,900","3,53,73,77,134"
"Mar 27, 2015",248.57,256.81,245.21,247.03,"1,72,74,900","3,45,57,31,911"
"Mar 26, 2015",246.28,254.35,244.9,248.53,"2,57,30,000","3,47,57,01,380"
"Mar 25, 2015",247.47,249.19,236.51,246.2,"3,58,66,900","3,44,21,29,496"
"Mar 24, 2015",266.58,267,244.15,245.6,"4,00,73,700","3,43,27,18,154"
"Mar 23, 2015",267.89,277.3,261.74,266.74,"2,28,11,900","3,72,71,11,341"
"Mar 22, 2015",259.92,269.75,259.59,267.96,"1,84,38,100","3,74,31,93,531"
"Mar 21, 2015",261.64,262.2,255.65,260.02,"1,71,30,100","3,63,14,24,642"
"Mar 20, 2015",260.96,264.85,259.16,261.75,"1,84,56,700","3,65,45,06,819"
"Mar 19, 2015",255.88,264.24,248.64,260.93,"5,27,32,000","3,64,21,56,965"
"Mar 18, 2015",285.07,285.34,249.87,256.3,"5,70,08,000","3,57,66,71,767"
