Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 24, 2018",542.57,545.38,526.08,526.44,"1,30,00,09,984","51,79,91,23,912"
"Mar 23, 2018",539.86,540.49,512.13,539.62,"1,59,63,49,952","53,08,49,05,906"
"Mar 22, 2018",562.1,577.57,523.09,539.7,"1,52,34,59,968","53,08,21,50,649"
"Mar 21, 2018",559.1,589.61,550.57,561.73,"1,78,12,70,016","55,23,73,91,316"
"Mar 20, 2018",556.72,567.09,521.2,557.17,"1,83,36,80,000","54,77,79,82,164"
"Mar 19, 2018",546.63,558.1,519.12,556.73,"2,04,67,90,016","54,72,24,73,140"
"Mar 18, 2018",551.64,551.64,460.09,538.64,"2,68,54,99,904","52,93,41,84,182"
"Mar 17, 2018",601.68,609.15,549.1,552.78,"1,26,78,10,048","54,31,20,35,489"
"Mar 16, 2018",611.78,623.17,587.86,601.67,"1,41,73,50,016","59,10,30,31,871"
"Mar 15, 2018",614.84,620.62,579.51,611.3,"1,77,04,60,032","60,03,72,33,577"
"Mar 14, 2018",691.22,702.78,594.1,614.29,"1,81,05,60,000","60,31,80,25,226"
"Mar 13, 2018",698.15,713.73,682.35,690.83,"1,42,59,59,936","67,81,90,92,121"
"Mar 12, 2018",724.41,742.51,683.27,699.83,"1,76,49,99,936","68,68,87,64,839"
"Mar 11, 2018",685.31,735.83,668.12,723.34,"1,56,26,80,064","70,98,13,43,639"
"Mar 10, 2018",730.16,748.03,682.7,686.89,"1,53,29,60,000","67,39,04,87,259"
"Mar 09, 2018",702.2,729.16,648.11,728.92,"2,23,30,19,904","71,49,87,33,754"
"Mar 08, 2018",752.57,773.77,696.17,704.6,"1,89,16,40,064","69,09,88,51,661"
"Mar 07, 2018",816.27,825.61,726.55,752.83,"2,17,54,19,904","73,81,39,18,307"
"Mar 06, 2018",853.82,853.82,809.93,816.95,"1,94,30,69,952","80,08,39,29,891"
"Mar 05, 2018",866.85,869.92,853.52,853.68,"1,89,84,89,984","83,66,73,42,992"
"Mar 04, 2018",856.19,867.95,840.28,866.68,"1,69,79,39,968","84,92,32,40,778"
"Mar 03, 2018",856.71,868.45,855.21,857.22,"1,69,93,69,984","83,97,96,51,073"
"Mar 02, 2018",871.76,876.38,852.42,856.85,"1,89,44,19,968","83,92,56,90,001"
"Mar 01, 2018",856.01,880.3,851.92,872.2,"1,86,85,19,936","85,41,08,27,047"
"Feb 28, 2018",877.93,890.11,855.12,855.2,"1,96,39,80,032","83,72,85,64,149"
"Feb 27, 2018",870.36,896.26,867.1,878.27,"2,05,39,80,032","85,96,87,88,108"
"Feb 26, 2018",845.28,880.39,842.32,869.32,"2,04,44,80,000","85,07,49,73,200"
"Feb 25, 2018",839.46,853.15,822.38,844.81,"1,64,69,60,000","82,65,96,02,549"
"Feb 24, 2018",861.59,879.53,818.55,840.52,"1,92,65,79,968","82,22,23,77,928"
"Feb 23, 2018",811.59,886.32,794.79,864.19,"2,33,48,20,096","84,52,05,67,485"
"Feb 22, 2018",849.26,875.93,802.67,812.84,"2,15,03,70,048","79,48,21,40,044"
"Feb 21, 2018",894.14,912.38,830.56,849.97,"2,53,17,29,920","83,09,50,81,059"
"Feb 20, 2018",943.57,965.27,892.95,895.37,"2,54,52,60,032","87,51,49,97,546"
"Feb 19, 2018",921.67,957.78,921.55,943.86,"2,16,90,19,904","92,23,56,41,556"
"Feb 18, 2018",973.35,982.93,915.45,923.92,"2,56,72,90,112","90,26,78,05,476"
"Feb 17, 2018",944.75,976.59,940.75,974.11,"2,52,57,20,064","95,15,19,56,513"
"Feb 16, 2018",934.79,950.01,917.85,944.21,"2,36,94,49,984","92,21,14,37,654"
"Feb 15, 2018",923.73,951.95,911.11,936.98,"2,90,01,00,096","91,48,58,62,822"
"Feb 14, 2018",844.28,926.43,844.28,923.56,"2,81,83,70,048","90,15,70,05,929"
"Feb 13, 2018",869.29,870.71,828.84,845.26,"2,08,11,70,048","82,49,61,89,206"
"Feb 12, 2018",817.51,875.94,817.51,868.71,"2,24,34,50,112","84,76,70,37,716"
"Feb 11, 2018",859.29,859.29,788.22,814.66,"2,48,66,50,112","79,47,65,12,347"
"Feb 10, 2018",882.47,917.4,825.58,860.41,"2,93,05,30,048","83,92,29,89,198"
"Feb 09, 2018",818.48,884,788.83,883.86,"2,49,58,20,032","86,19,19,22,699"
"Feb 08, 2018",755.84,845.09,755.84,817.81,"3,70,81,89,952","79,73,36,09,806"
"Feb 07, 2018",790.43,851.2,723.43,757.07,"3,89,61,79,968","73,79,62,88,509"
"Feb 06, 2018",707.74,796.44,574.42,793.12,"6,51,82,69,952","77,29,45,07,868"
