StationId,PM2.5,PM10,NO,NO2,NOx,SO2
DL027,96.49,193.79,31.12,23.84,55.17,6.68
DL027,99.84,192.27,15.54,20.99,36.49,9.71
DL027,47.95,130.66,2.31,13.19,15.49,6.57
DL027,48.96,130.1,2.57,14.77,17.35,5.65
DL027,76.95,178.54,13.38,22.2,35.58,7.47
DL027,63.35,148.61,7.1,19.83,26.91,6.43
DL027,117.31,210.14,15.44,21.54,36.96,14.44
DL027,111.86,211.65,41.5,23.91,65.41,11.44
DL027,82.75,227.56,8.82,16.35,25.17,9.33
DL027,122.34,267.79,6.52,13.77,20.2,6.37
DL027,67.54,205.79,5.58,14.1,19.67,5.84
DL027,70.64,177.82,4.05,15.81,19.85,9.63
DL027,89.76,211.45,25.99,18.47,44.44,8.92
DL027,56.35,180.36,5.04,13.98,19.01,7.01
DL027,55.44,199.83,1.05,11.1,12.11,7.25
DL027,46.21,150.99,3.46,9.04,12.49,6.72
DL027,40.92,147.15,2.19,11.17,13.36,7.47
DL027,35.92,128.29,19.41,15.81,35.18,5.17
DL027,49.67,200.15,15.79,15.94,28.33,4.67
DL027,16.6,80.56,0.73,15.34,15.47,3.4
DL027,31.79,100.4,5.8,22.2,26.68,5.65
DL027,59.83,139.96,16.5,30.56,44.93,6.65
DL027,72.45,190.99,27.5,38.96,61.65,6.64
DL027,78.15,248.84,49.13,41.31,86.3,7.36
DL027,107.48,289.77,32.97,40.58,66.59,14.57
DL027,85.42,328.0,76.63,43.44,116.74,7.49
DL027,65.17,367.22,1.3,25.86,26.7,6.38
DL027,67.2,306.23,0.96,14.93,15.61,6.34
DL027,64.72,220.85,13.58,23.4,37.0,11.1
DL027,52.15,268.73,8.59,22.77,31.41,6.07
DL027,50.71,256.02,7.24,21.55,28.85,6.38
DL027,61.03,250.3,17.34,29.59,46.9,7.59
DL027,79.38,281.86,9.96,25.74,35.7,9.74
DL027,104.93,339.48,5.21,29.43,34.83,11.77
DL027,62.18,292.18,3.77,17.83,21.6,9.07
DL027,40.99,161.85,7.73,16.51,24.24,8.14
DL027,71.97,186.82,24.17,27.68,51.86,5.66
DL027,48.83,180.15,46.3,29.06,75.32,4.31
DL027,83.61,241.1,72.23,40.88,113.11,5.86
DL027,99.11,316.74,98.38,40.17,138.73,5.99
DL027,98.52,334.8,125.02,33.81,163.35,5.49
DL027,101.09,350.71,34.21,34.49,68.87,5.71
DL027,67.39,300.62,8.34,23.08,31.37,4.73
DL027,85.47,292.25,6.09,20.54,26.63,6.34
DL027,140.95,384.96,6.75,24.87,31.64,4.87
DL027,159.71,321.96,22.46,33.74,56.18,10.8
DL027,40.96,104.67,1.98,17.23,19.22,4.02
DL027,84.54,174.21,9.44,30.48,39.94,11.9
DL027,63.15,202.74,6.96,25.42,32.34,5.77
DL027,87.36,325.99,26.94,23.91,45.83,4.64
DL027,31.67,76.38,2.77,17.53,20.29,3.09
DL027,62.32,128.14,14.7,29.43,44.14,5.4
DL027,76.11,176.71,39.02,37.82,77.7,6.0
DL027,60.98,153.81,18.81,30.16,48.95,5.94
DL027,46.39,154.52,28.9,49.83,78.65,6.96
DL027,73.94,179.53,36.81,30.5,67.48,6.74
DL027,40.98,97.88,12.95,19.53,32.48,4.11
DL027,31.84,101.91,3.58,19.45,23.02,4.06
DL027,44.97,136.0,3.2,22.24,25.44,5.43
DL027,53.78,166.01,10.71,32.01,42.82,5.71
DL027,53.23,166.35,15.71,37.51,53.2,5.86
DL027,61.56,184.71,26.5,39.81,66.31,6.99
DL027,69.46,216.19,59.57,41.07,100.58,6.02
DL027,83.58,347.32,31.75,32.64,64.39,6.28
DL027,87.77,307.16,32.39,26.87,59.18,7.02
DL027,64.77,249.03,1.09,11.65,12.73,5.09
DL027,56.53,325.04,1.15,11.18,12.36,3.6
DL027,50.77,170.94,1.16,14.62,15.78,4.2
DL027,64.23,189.48,3.94,18.04,21.99,5.02
DL027,64.61,223.6,9.64,21.69,31.58,5.96
DL027,47.14,149.04,1.22,11.79,13.02,5.32
DL027,80.7,152.14,10.51,22.36,32.89,6.14
DL027,101.79,222.03,66.95,36.34,103.03,8.63
DL027,82.23,185.55,54.71,35.62,90.35,5.32
DL027,150.8,408.6,41.59,30.45,72.14,4.89
DL027,70.93,243.46,2.96,13.13,16.1,4.51
DL027,59.78,158.07,2.66,17.58,20.26,4.55
DL027,58.12,136.71,13.32,21.42,34.72,3.99
DL027,90.75,211.03,24.75,32.88,57.61,5.94
DL027,42.41,123.39,2.02,13.73,15.75,3.14
DL027,39.76,111.69,3.42,19.14,22.56,3.85
DL027,27.66,61.55,4.79,17.72,22.5,2.77
DL027,89.1,178.15,6.96,20.89,27.86,5.62
DL027,39.66,118.58,2.21,13.2,15.4,4.53
DL027,58.49,177.3,2.68,16.38,19.05,5.28
DL027,51.52,172.9,1.8,16.18,17.97,6.41
DL027,32.95,130.74,1.6,8.3,9.9,3.39
DL027,17.29,93.36,1.97,10.6,12.54,4.76
DL027,39.19,120.65,1.81,11.94,13.74,4.43
DL027,47.3,146.48,2.84,17.99,20.82,4.57
DL027,59.79,212.99,8.7,22.73,31.46,4.85
DL027,51.4,202.71,18.76,23.19,41.94,3.84
DL027,52.81,247.91,8.23,21.17,29.37,3.25
DL027,67.74,279.15,7.64,14.93,22.56,4.47
DL027,59.93,208.57,2.35,13.77,16.09,3.79
DL027,65.7,243.73,0.53,9.37,9.83,3.77
DL027,26.77,100.38,0.61,7.08,7.66,3.24
DL027,31.22,87.64,2.13,9.6,11.7,2.82
DL027,44.68,83.86,5.67,14.5,20.17,3.44
DL027,24.9,61.78,2.54,9.09,11.61,2.72
DL027,31.17,75.56,1.25,10.67,11.92,2.84
DL027,55.36,121.24,2.04,12.96,14.99,2.87
DL027,49.55,92.17,1.72,11.0,12.7,2.7
DL027,96.88,204.73,3.8,10.36,14.16,3.01
DL027,113.54,267.24,5.56,10.14,15.69,3.22
DL027,118.35,276.4,3.7,8.21,11.9,2.32
DL027,87.8,215.96,1.77,7.53,9.3,2.26
DL027,89.49,221.51,1.44,6.54,7.98,2.57
DL027,48.88,139.0,4.62,8.1,12.67,2.76
DL027,33.89,58.58,1.54,7.9,9.44,2.42
DL027,36.06,56.56,1.71,10.08,11.8,2.63
DL027,35.05,53.29,3.88,13.58,17.45,2.35
